%	API	TI	CE	BW	WW	PWG	YW	MCE	MLK	MWW	STY	DOC	CWT	YG	MRB	BF	REA	SF
1	164.21	86.95	19.60	-4.40	87.40	0.32	136.60	11.70	32.20	70.50	21.80	18.00	53.40	-0.52	0.77	-0.13	1.09	-0.52
2	159.04	84.85	18.50	-3.70	84.30	0.31	131.80	11.00	30.80	68.20	21.00	17.00	50.20	-0.49	0.70	-0.12	1.04	-0.50
3	155.66	83.63	17.90	-3.30	82.60	0.30	128.80	10.60	30.00	66.90	20.60	16.40	48.20	-0.47	0.66	-0.11	1.00	-0.48
4	153.38	82.70	17.50	-2.90	81.30	0.29	126.80	10.20	29.40	65.80	20.30	16.00	46.70	-0.45	0.64	-0.10	0.97	-0.47
5	151.52	81.93	17.10	-2.70	80.20	0.29	125.00	10.00	28.90	65.00	20.00	15.70	45.50	-0.43	0.62	-0.10	0.94	-0.46
10	145.34	79.22	15.80	-1.80	76.80	0.27	119.10	9.10	27.30	62.50	19.10	14.60	41.70	-0.39	0.54	-0.09	0.86	-0.43
15	141.08	77.43	14.90	-1.30	74.50	0.26	115.20	8.60	26.20	60.90	18.50	14.00	39.20	-0.36	0.49	-0.08	0.82	-0.41
20	137.83	75.94	14.20	-0.90	72.60	0.25	112.20	8.10	25.40	59.60	18.00	13.40	37.30	-0.34	0.45	-0.07	0.78	-0.39
25	135.13	74.68	13.70	-0.50	71.10	0.24	109.60	7.80	24.60	58.60	17.50	13.00	35.60	-0.32	0.42	-0.07	0.75	-0.38
30	132.64	73.50	13.30	-0.30	69.70	0.24	107.30	7.40	24.00	57.70	17.10	12.60	34.20	-0.30	0.39	-0.06	0.72	-0.37
35	130.38	72.41	12.90	0.00	68.30	0.23	105.00	7.10	23.40	56.80	16.60	12.20	32.90	-0.28	0.36	-0.06	0.69	-0.35
40	128.11	71.35	12.50	0.20	67.00	0.22	102.90	6.90	22.80	56.00	16.20	11.90	31.80	-0.26	0.33	-0.05	0.67	-0.34
45	126.00	70.28	12.10	0.40	65.80	0.22	100.70	6.60	22.30	55.20	15.80	11.60	30.60	-0.25	0.30	-0.05	0.64	-0.33
50	123.83	69.24	11.70	0.60	64.50	0.21	98.50	6.30	21.70	54.40	15.40	11.20	29.50	-0.23	0.28	-0.04	0.62	-0.32
55	121.63	68.16	11.40	0.80	63.30	0.20	96.30	6.00	21.20	53.50	14.90	10.90	28.40	-0.21	0.26	-0.04	0.60	-0.31
60	119.37	67.10	11.00	1.00	62.10	0.20	94.00	5.80	20.70	52.60	14.50	10.60	27.20	-0.20	0.23	-0.04	0.57	-0.31
65	117.05	65.97	10.60	1.20	60.80	0.19	91.60	5.50	20.10	51.70	14.00	10.20	26.10	-0.18	0.21	-0.03	0.55	-0.30
70	114.63	64.80	10.20	1.40	59.40	0.18	89.10	5.20	19.60	50.60	13.40	9.80	24.80	-0.17	0.18	-0.03	0.52	-0.29
75	112.05	63.55	9.70	1.60	57.90	0.17	86.30	4.80	19.00	49.40	12.70	9.40	23.40	-0.15	0.15	-0.03	0.49	-0.28
80	109.14	62.16	9.20	1.90	56.20	0.16	83.20	4.40	18.30	48.10	12.00	8.90	21.90	-0.13	0.12	-0.02	0.46	-0.26
85	105.81	60.63	8.60	2.20	54.20	0.15	79.80	3.90	17.50	46.60	11.20	8.30	20.00	-0.11	0.09	-0.02	0.43	-0.25
90	101.64	58.82	7.80	2.60	51.70	0.14	75.40	3.40	16.60	44.70	10.20	7.40	17.50	-0.08	0.05	-0.01	0.38	-0.24
95	94.73	56.26	6.60	3.20	47.90	0.13	69.00	2.40	15.20	42.20	8.70	5.70	13.80	-0.03	-0.01	0.00	0.32	-0.21
