%,API,TI,CE,BW,WW,PWG,YW,MCE,MLK,MWW,STY,DOC,CWT,YG,MRB,BF,REA,SF,
2,5.1700,2.1000,1.1000,-0.700,3.1000,0.0100,4.7999,0.6999,1.4000,2.2999,0.8000,1.0,3.1999,-0.030,0.0700,-0.010,0.0500,-0.020,
3,3.3799,1.2199,0.6000,-0.400,1.7000,0.0100,3.0,0.4000,0.8000,1.2999,0.3999,0.6000,2.0,-0.020,0.0399,-0.009,0.0400,-0.020,
4,2.2800,0.9299,0.3999,-0.399,1.2999,0.0100,2.0000,0.4000,0.6000,1.1000,0.3000,0.3999,1.5,-0.019,0.0200,-0.009,0.0300,-0.010,
5,1.8599,0.7699,0.3999,-0.199,1.0999,-0.0,1.7999,0.1999,0.5,0.7999,0.3000,0.3000,1.2000,-0.020,0.0200,-0.0,0.0300,-0.009,
10,1.2360,0.5420,0.2600,-0.180,0.6800,0.0039,1.1800,0.1800,0.3199,0.5,0.1799,0.2199,0.7599,-0.007,0.0159,-0.002,0.0159,-0.006,
15,0.8519,0.3579,0.1800,-0.1,0.4599,0.0020,0.7799,0.1,0.2200,0.3200,0.1200,0.1199,0.5,-0.006,0.0100,-0.001,0.0080,-0.004,
20,0.65,0.2980,0.1400,-0.08,0.3800,0.0020,0.6,0.1,0.1600,0.2599,0.1,0.1199,0.3800,-0.003,0.0079,-0.001,0.0079,-0.003,
25,0.5400,0.2519,0.1,-0.08,0.3,0.0020,0.5200,0.0599,0.1599,0.2,0.1,0.0800,0.3399,-0.004,0.0060,-0.0,0.0060,-0.002,
30,0.4980,0.2360,0.0799,-0.04,0.2799,-0.0,0.4599,0.0799,0.1200,0.1799,0.0799,0.0800,0.2799,-0.004,0.0059,-0.002,0.0060,-0.002,
35,0.4519,0.2180,0.0800,-0.06,0.2800,0.0019,0.4599,0.0600,0.1200,0.1800,0.1,0.0800,0.2600,-0.003,0.0060,-0.0,0.0060,-0.004,
40,0.4539,0.2120,0.0800,-0.04,0.2599,0.0020,0.4199,0.0399,0.1199,0.1599,0.0800,0.0599,0.2199,-0.004,0.0059,-0.001,0.0039,-0.001,
45,0.4220,0.2139,0.0800,-0.04,0.2400,-0.0,0.4400,0.0600,0.1,0.1599,0.0799,0.0600,0.2399,-0.002,0.0060,-0.0,0.0060,-0.002,
50,0.4340,0.2080,0.0800,-0.039,0.2599,0.0020,0.4400,0.0599,0.1200,0.1600,0.0800,0.0800,0.2200,-0.003,0.0039,-0.002,0.0040,-0.002,
55,0.4400,0.2159,0.0599,-0.040,0.2400,0.0019,0.4400,0.0599,0.1,0.1799,0.1,0.0599,0.2200,-0.004,0.0040,-0.0,0.0040,-0.002,
60,0.4519,0.2120,0.0800,-0.039,0.2399,-0.0,0.4599,0.0400,0.1,0.1799,0.0800,0.0600,0.2399,-0.001,0.006,-0.0,0.0060,-0.0,
65,0.4640,0.2259,0.0800,-0.039,0.2600,0.0020,0.4800,0.0599,0.1199,0.1799,0.1,0.0800,0.2199,-0.004,0.0040,-0.002,0.0039,-0.002,
70,0.4840,0.2340,0.0800,-0.039,0.2799,0.0020,0.5,0.0599,0.1,0.2200,0.1199,0.0799,0.2600,-0.001,0.006,-0.0,0.0060,-0.002,
75,0.5159,0.25,0.1,-0.040,0.3,0.0019,0.5599,0.0800,0.1200,0.2400,0.1400,0.0800,0.2800,-0.004,0.006,-0.0,0.0060,-0.001,
80,0.5819,0.2780,0.1,-0.059,0.3399,0.0020,0.6199,0.0799,0.1399,0.2599,0.1399,0.1,0.3,-0.003,0.006,-0.001,0.0059,-0.004,
85,0.6659,0.3059,0.1199,-0.060,0.4,0.0020,0.6800,0.1000,0.1600,0.3,0.1600,0.1199,0.3799,-0.004,0.006,-0.0,0.0060,-0.002,
90,0.8340,0.3620,0.1599,-0.079,0.5,0.0019,0.8799,0.1,0.1799,0.3799,0.2,0.1800,0.5,-0.006,0.0079,-0.002,0.0099,-0.002,
95,1.3819,0.5120,0.2400,-0.120,0.7600,0.0020,1.2800,0.2,0.2800,0.5,0.3,0.34,0.7399,-0.01,0.012,-0.002,0.012,-0.006,
