"ASA Number","Epds>CeAcc","Epds>CeEpd","Epds>BirthWtAcc","Epds>BirthWtEpd","Epds>MceAcc","Epds>MceEpd","Epds>PpaAcc","Epds>PpaEpd","Epds>WeanWtAcc","Epds>WeanWtEpd","Epds>YearlingWtAcc","Epds>YearlingWtEpd","Epds>MarblingAcc","Epds>MarblingEpd","Epds>YieldGradeAcc","Epds>YieldGradeEpd","Epds>BackFatAcc","Epds>BackFatEpd","Epds>BackFatEpd","Epds>RibEyeAcc","Epds>RibEyeEpd","Epds>ShrForceAcc","Epds>ShrForceEpd","Epds>DauWtAcc","Epds>DauWtEpd","Epds>DauHtAcc","Epds>DauHtEpd","Epds>StayAcc","Epds>StayEpd","Epds>Api","Epds>Ti","Epds>FertAcc","Epds>FertEpd","Epds>MilkEpd","Epds>MilkAcc","Epds>MwwAcc","Epds>MwwEpd","Epds>CarcassWtAcc","Epds>CarcassWtEpd","Epds>DocEpd","Epds>DocAcc","Epds>AdgEpd","Epds>AdgAcc","Percentile>CE","Percentile>BW","Percentile>WW","Percentile>YW","Percentile>MCE","Percentile>Milk","Percentile>MWW","Percentile>Stay","Percentile>Doc","Percentile>CW","Percentile>YG","Percentile>Marb","Percentile>BF","Percentile>REA","Percentile>SF","Percentile>API","Percentile>TI","Percentile>ADG","BirthDam>ASA Number","BirthDam>Name","BirthDam>BirthDate","Sire>Name","Sire>ASA Number","Sire>Sire>ASA Number","Sire>Sire>Name","BirthDate","DamProgeny>Total","DamProgeny>Interval","DamProgeny>Males","DamProgeny>Females","DamProgeny>Avg Adj BW","DamProgeny>Avg Adj WW","DamProgeny>Avg Adj YW"
"(2715989)","0.16","9.9","0.23","3.1","0.13","2.8","","","0.14","60.8","0.15","94.5","0.19","0.25","0.17","-0.05","0.18","-0.004","-0.004","0.20","0.15","","","","","","","0.07","9.4","94.9","59.6","","","22.2","0.20","0.25","52.5","0.21","10.7","17.8","0.22","0.21","0.15","75","95","70","60","95","50","65","95","2","99","95","60","95","99","","95","90","55","","","","CIMARRON SUPERIOR 442","(9681534)","(9681533)","CIMARRON RULER 815","1995-01-01","4","371","2","2","87","554","858"
"(2715966)","0.16","14.8","0.23","-2.6","0.15","8.3","","","0.17","47.0","0.18","71.0","0.22","0.33","0.20","-0.03","0.22","0.002","0.002","0.23","0.30","","","","","","","0.08","9.7","110.3","61.2","","","28.9","0.21","0.23","52.4","0.24","22.7","1.6","0.19","0.15","0.18","20","10","99","95","20","10","65","95","99","80","99","45","99","99","","80","85","90","","","","HOMESTEAD BLOCKBUSTER 409","2107744","2074026","BON VIEW BANDO 598","1995-01-01","5","825","4","1","81","577",""
"(2713052)","0.15","15.0","0.28","-1.3","0.12","8.3","","","0.17","34.8","0.18","44.7","0.18","0.03","0.17","-0.26","0.16","-0.072","-0.072","0.21","0.02","","","","","","","0.10","2.7","72.8","43.9","","","12.8","0.20","0.24","30.2","0.22","-8.5","5.5","0.19","0.06","0.18","15","20","99","99","20","99","99","99","99","99","45","95","20","99","","99","99","99","(2715867)","EOR136","1993-01-01","AR SU LU POPPIN GOOD P150 ET","(2708693)","(2708690)","BYLAND PATTERN","1997-03-25","6","1097","1","5","82","295",""
"(2713010)","0.13","14.2","0.15","-0.2","0.09","5.0","","","0.07","39.2","0.07","53.0","0.05","0.33","0.05","-0.13","0.05","-0.015","-0.015","0.06","0.50","","","","","","","0.01","5.1","92.2","50.9","","","1.7","0.14","0.18","21.3","0.06","26.0","-3.3","0.13","0.09","0.07","25","35","99","99","75","99","99","99","99","70","85","45","90","75","","99","99","99","(2715827)","BWT271_","1996-01-01","SLF DUKE 207B","(9681546)","(9681545)","SLF 9012Y","1998-03-25","2","403","0","2","78","351",""
"(2713239)","0.11","13.6","0.22","-1.3","0.06","3.7","","","0.14","38.8","0.13","56.7","0.13","0.42","0.12","0.03","0.13","0.018","0.018","0.15","0.15","","","","","","","0.01","4.3","96.8","54.6","","","10.0","0.22","0.25","29.3","0.15","15.3","8.6","0.20","0.11","0.13","30","20","99","99","90","99","99","99","85","95","99","30","99","99","","95","99","99","(2712644)","W438-WT430","1995-03-17","","","","","1998-04-03","4","361","2","2","78","400",""
"(2713020)","0.04","13.5","0.14","-1.7","0.02","7.5","","","0.05","36.1","0.06","45.8","0.00","0.12","0.00","-0.25","0.00","-0.060","-0.060","0.00","0.37","","","","","","","0.00","3.6","78.5","47.3","","","16.0","0.12","0.17","34.0","0.00","13.4","5.9","0.13","0.06","0.06","30","15","99","99","30","95","99","99","95","99","50","85","40","95","","99","99","99","(2715879)","EPK175","1993-01-01","","","","","1998-04-05","3","394","2","1","83","436",""
"(2713405)","0.04","15.4","0.17","-2.9","0.02","8.7","","","0.06","31.1","0.06","37.7","0.00","0.12","0.00","-0.25","0.00","-0.060","-0.060","0.00","0.37","","","","","","","0.03","3.6","81.2","45.8","","","13.3","0.12","0.18","28.8","0.00","13.4","-5.1","0.13","0.04","0.06","15","5","99","99","15","99","99","99","99","99","50","85","40","95","","99","99","99","(2715854)","EGR048","1993-01-01","","","","","1998-05-03","4","359","3","1","78","413",""
"(2713069)","0.19","13.9","0.26","0.9","0.12","4.8","","","0.15","43.9","0.15","61.6","0.17","0.30","0.16","-0.12","0.16","-0.017","-0.017","0.20","0.36","","","","","","","0.07","4.9","89.8","51.8","","","3.2","0.21","0.26","25.0","0.20","18.8","1.4","0.19","0.11","0.15","25","60","99","99","80","99","99","99","99","90","85","50","90","95","","99","99","99","(2715702)","E97PK048_","1997-01-01","SLF DUKE 207B","(9681546)","(9681545)","SLF 9012Y","1999-02-08","5","1203","3","2","83","452",""
"(2712123)","0.22","10.6","0.32","2.1","0.15","3.2","","","0.20","53.9","0.21","81.1","0.20","0.24","0.18","-0.05","0.18","-0.006","-0.006","0.21","0.15","","","","","","","0.06","9.4","94.0","55.4","","","11.0","0.26","0.30","37.9","0.21","11.3","7.5","0.26","0.17","0.21","70","85","90","85","95","99","99","95","90","99","95","60","95","99","","99","99","80","(2715792)","B97PK014_","1997-01-01","CIMARRON SUPERIOR 442","(9681534)","(9681533)","CIMARRON RULER 815","1999-02-12","6","736","3","3","87","428",""
"(2713026)","0.10","11.1","0.18","0.0","0.04","6.4","","","0.10","44.8","0.10","64.4","0.10","0.37","0.10","-0.05","0.10","-0.005","-0.005","0.12","0.23","","","","","","","0.00","3.6","89.7","55.7","","","12.9","0.13","0.15","35.3","0.12","17.3","10.8","0.16","0.12","0.10","60","40","99","99","50","99","99","99","60","95","95","35","95","99","","99","99","99","(2715802)","BGR284","1993-01-01","","","","","1999-03-01","4","991","1","3","81","279",""
