"ASA Number","Epds>CeAcc","Epds>CeEpd","Epds>BirthWtAcc","Epds>BirthWtEpd","Epds>MceAcc","Epds>MceEpd","Epds>PpaAcc","Epds>PpaEpd","Epds>WeanWtAcc","Epds>WeanWtEpd","Epds>YearlingWtAcc","Epds>YearlingWtEpd","Epds>MarblingAcc","Epds>MarblingEpd","Epds>YieldGradeAcc","Epds>YieldGradeEpd","Epds>BackFatAcc","Epds>BackFatEpd","Epds>BackFatEpd","Epds>RibEyeAcc","Epds>RibEyeEpd","Epds>ShrForceAcc","Epds>ShrForceEpd","Epds>DauWtAcc","Epds>DauWtEpd","Epds>DauHtAcc","Epds>DauHtEpd","Epds>StayAcc","Epds>StayEpd","Epds>Api","Epds>Ti","Epds>FertAcc","Epds>FertEpd","Epds>MilkEpd","Epds>MilkAcc","Epds>MwwAcc","Epds>MwwEpd","Epds>CarcassWtAcc","Epds>CarcassWtEpd","Epds>DocEpd","Epds>DocAcc","Epds>AdgEpd","Epds>AdgAcc","Percentile>CE","Percentile>BW","Percentile>WW","Percentile>YW","Percentile>MCE","Percentile>Milk","Percentile>MWW","Percentile>Stay","Percentile>Doc","Percentile>CW","Percentile>YG","Percentile>Marb","Percentile>BF","Percentile>REA","Percentile>SF","Percentile>API","Percentile>TI","Percentile>ADG","BirthDam>ASA Number","BirthDam>Name","BirthDam>BirthDate","Sire>Name","Sire>ASA Number","Sire>Sire>ASA Number","Sire>Sire>Name","BirthDate","DamProgeny>Total","DamProgeny>Interval","DamProgeny>Males","DamProgeny>Females","DamProgeny>Avg Adj BW","DamProgeny>Avg Adj WW","DamProgeny>Avg Adj YW"
"(2712179)","0.26","13.2","0.35","0.3","0.22","9.8","","","0.28","46.9","0.28","69.4","0.28","0.35","0.27","0.02","0.30","0.005","0.005","0.31","0.00","","","","","","","0.18","11.6","107.4","56.7","","","17.4","0.32","0.34","40.8","0.32","9.8","3.6","0.29","0.14","0.28","35","45","99","95","10","90","99","85","99","99","99","40","99","99","","85","95","95","(2715693)","B97PK015_","1997-01-01","N BAR EMULATION EXT","1923301","(8528659)","EMULATION N BAR 5522","2000-03-22","6","362","3","3","83","461","703"
"(2713014)","0.34","11.1","0.42","-0.3","0.11","7.6","","","0.34","49.4","0.34","74.5","0.27","0.33","0.27","-0.06","0.27","-0.018","-0.018","0.34","0.23","","","","","","","0.16","13.5","110.5","58.3","","","15.1","0.36","0.38","39.7","0.34","22.3","9.3","0.31","0.16","0.34","60","35","95","95","30","99","99","70","80","80","95","45","90","99","","80","95","85","(2715610)","EPU144_","1999-03-10","","","","","2001-03-02","7","370","4","3","85","459",""
"(2712374)","0.26","12.7","0.34","0.3","0.19","8.6","","","0.27","56.2","0.27","87.9","0.28","0.58","0.25","0.19","0.26","0.048","0.048","0.30","0.01","","","","","","","0.09","6.1","135.7","78.8","","","19.3","0.33","0.35","47.4","0.29","25.9","16.5","0.26","0.20","0.27","40","45","85","75","20","75","85","99","3","70","99","10","99","99","","25","15","65","(2713046)","81TJL9638 - BK382","1998-03-01","S A F EASY FORTUNE","2178374","2093406","MINERTS FORTUNE 2000","2001-03-30","6","958","2","4","86","493","793"
"(2713157)","0.42","8.5","0.51","0.7","0.24","7.2","","","0.44","52.1","0.44","78.8","0.35","0.31","0.33","0.09","0.33","0.031","0.031","0.40","0.06","","","","","","","0.23","10.9","99.2","56.9","","","13.1","0.46","0.50","39.0","0.41","16.6","9.3","0.40","0.17","0.44","90","55","90","90","35","99","99","90","80","95","99","45","99","99","","95","95","80","(2715363)","EBK024_","1998-03-23","S A F EASY FORTUNE","2178374","2093406","MINERTS FORTUNE 2000","2001-04-02","11","556","4","7","85","497",""
"(2712147)","0.30","19.7","0.38","-1.3","0.20","9.4","","","0.27","45.9","0.28","71.1","0.30","0.42","0.26","0.00","0.27","0.002","0.002","0.30","0.05","","","","","","","0.11","10.7","121.3","60.4","","","14.1","0.33","0.37","37.0","0.32","11.3","17.2","0.32","0.16","0.28","1","20","99","95","10","99","99","90","2","99","99","30","99","99","","60","90","85","(2715299)","ERD035","1995-01-01","CIMARRON SUPERIOR 442","(9681534)","(9681533)","CIMARRON RULER 815","2002-02-06","7","731","6","1","82","460",""
"(2712092)","0.39","17.4","0.47","-3.0","0.22","10.1","","","0.42","41.3","0.42","65.0","0.36","0.54","0.33","0.12","0.35","0.031","0.031","0.40","0.09","","","","","","","0.19","13.4","130.6","63.0","","","26.1","0.43","0.46","46.7","0.41","25.0","13.6","0.37","0.15","0.42","5","4","99","99","5","20","85","75","20","70","99","15","99","99","","35","80","90","(2715460)","EBK306_","1999-02-25","SUMMITCREST HI FLYER 3B18","2146489","(8512960)","HOFF HI FLYER S C 7134","2002-02-13","7","363","5","2","82","476",""
"(2713180)","0.41","15.4","0.48","-2.9","0.24","9.6","","","0.43","40.7","0.43","63.9","0.35","0.62","0.34","-0.04","0.35","0.008","0.008","0.40","0.56","","","","","","","0.20","11.3","152.9","76.4","","","25.9","0.46","0.48","46.2","0.43","37.2","12.7","0.41","0.15","0.43","15","5","99","99","10","20","90","85","30","25","95","10","99","65","","5","20","90","(2713179)","81TMZ1338","2000-02-11","SUMMITCREST HI FLYER 3B18","2146489","(8512960)","HOFF HI FLYER S C 7134","2002-02-18","6","369","1","5","73","452",""
"(2712170)","0.27","13.6","0.35","-0.7","0.20","7.4","","","0.29","48.7","0.29","73.2","0.25","0.23","0.23","-0.05","0.24","-0.013","-0.013","0.27","0.08","","","","","","","0.14","12.5","106.1","56.6","","","20.7","0.34","0.36","44.9","0.27","9.6","9.6","0.29","0.15","0.29","30","25","95","95","35","65","90","80","75","99","95","65","90","99","","85","95","90","(2715706)","EBU118_","1999-01-01","HOMESTEAD BLOCKBUSTER 409","2107744","2074026","BON VIEW BANDO 598","2002-03-11","6","802","2","4","83","461","809"
"(2712173)","0.29","13.1","0.36","-0.1","0.20","6.1","","","0.26","49.8","0.26","77.6","0.27","0.30","0.24","0.06","0.25","0.033","0.033","0.28","0.13","","","","","","","0.11","13.3","110.2","57.3","","","14.7","0.32","0.36","39.5","0.29","13.9","15.3","0.31","0.17","0.26","35","35","95","90","55","99","99","75","10","95","99","50","99","99","","80","95","80","(2715591)","EPU022_","1999-03-16","CIMARRON SUPERIOR 442","(9681534)","(9681533)","CIMARRON RULER 815","2002-04-06","7","731","4","3","82","449","728"
"(2712149)","0.24","16.1","0.30","-0.1","0.18","6.0","","","0.22","51.8","0.23","82.7","0.25","0.43","0.23","0.12","0.24","0.041","0.041","0.27","0.07","","","","","","","0.10","11.9","119.1","61.6","","","12.0","0.29","0.33","37.8","0.28","18.7","10.5","0.28","0.19","0.23","10","35","90","85","60","99","99","85","65","90","99","25","99","99","","65","85","70","(2715531)","EPU010_","1999-02-06","CIMARRON SUPERIOR 442","(9681534)","(9681533)","CIMARRON RULER 815","2002-04-10","5","730","3","2","77","431",""
