"ASA Number","Epds>CeAcc","Epds>CeEpd","Epds>BirthWtAcc","Epds>BirthWtEpd","Epds>MceAcc","Epds>MceEpd","Epds>PpaAcc","Epds>PpaEpd","Epds>WeanWtAcc","Epds>WeanWtEpd","Epds>YearlingWtAcc","Epds>YearlingWtEpd","Epds>MarblingAcc","Epds>MarblingEpd","Epds>YieldGradeAcc","Epds>YieldGradeEpd","Epds>BackFatAcc","Epds>BackFatEpd","Epds>BackFatEpd","Epds>RibEyeAcc","Epds>RibEyeEpd","Epds>ShrForceAcc","Epds>ShrForceEpd","Epds>DauWtAcc","Epds>DauWtEpd","Epds>DauHtAcc","Epds>DauHtEpd","Epds>StayAcc","Epds>StayEpd","Epds>Api","Epds>Ti","Epds>FertAcc","Epds>FertEpd","Epds>MilkEpd","Epds>MilkAcc","Epds>MwwAcc","Epds>MwwEpd","Epds>CarcassWtAcc","Epds>CarcassWtEpd","Epds>DocEpd","Epds>DocAcc","Epds>AdgEpd","Epds>AdgAcc","Percentile>CE","Percentile>BW","Percentile>WW","Percentile>YW","Percentile>MCE","Percentile>Milk","Percentile>MWW","Percentile>Stay","Percentile>Doc","Percentile>CW","Percentile>YG","Percentile>Marb","Percentile>BF","Percentile>REA","Percentile>SF","Percentile>API","Percentile>TI","Percentile>ADG","BirthDam>ASA Number","BirthDam>Name","BirthDam>BirthDate","Sire>Name","Sire>ASA Number","Sire>Sire>ASA Number","Sire>Sire>Name","BirthDate","DamProgeny>Total","DamProgeny>Interval","DamProgeny>Males","DamProgeny>Females","DamProgeny>Avg Adj BW","DamProgeny>Avg Adj WW","DamProgeny>Avg Adj YW"
"(3113620)","0.40","13.4","0.49","0.7","0.23","10.0","","","0.45","69.5","0.44","107.4","0.36","0.46","0.33","-0.16","0.35","-0.026","-0.026","0.40","0.43","","","","","","","0.22","19.0","138.9","74.9","","","28.7","0.40","0.42","63.4","0.41","18.5","15.2","0.37","0.24","0.44","30","55","35","30","10","10","10","15","10","90","75","20","80","90","","20","25","35","(2847809)","81TLW1667","2013-03-30","BAR CK 6225 3114A","2839756","2472158","G A R SELECTIVE","2016-04-14","1","","1","0","80","565",""
"(3108697)","0.40","13.9","0.49","-2.2","0.23","5.6","","","0.44","52.5","0.43","81.8","0.30","0.62","0.31","-0.05","0.33","-0.023","-0.023","0.36","0.17","","","","","","","0.20","8.3","124.7","71.4","","","26.5","0.40","0.43","52.7","0.38","23.2","2.5","0.42","0.18","0.43","25","10","90","85","65","15","60","99","99","80","95","10","80","99","","50","40","75","(2848013)","81TLW1671","2013-04-16","ABCE538","(2745271)","(2744317)","HICKS OB45 C720","2016-04-02","1","","1","0","72","491",""
"(3105972)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(2872172)","BU215","2014-04-03","THR/T2 ALL PURPOSE 3-01","2818680","2081939","HOOKS SHEAR FORCE 38K","2016-03-17","1","","1","0","95","",""
"(3105922)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(2872375)","BU126","2014-03-28","BAR CK 6225 3114A","2839756","2472158","G A R SELECTIVE","2016-03-21","1","","1","0","87","",""
"(3103709)","0.39","17.4","0.48","-3.3","0.23","8.9","","","0.44","43.0","0.43","66.5","0.39","0.52","0.33","-0.14","0.34","-0.020","-0.020","0.39","0.26","","","","","","","0.21","12.5","130.7","66.5","","","38.2","0.40","0.43","59.6","0.41","8.3","20.4","0.41","0.15","0.43","5","4","99","99","15","1","25","80","1","99","80","15","90","99","","35","65","90","(9722116)","81TDK8031","2010-04-17","BAR CK LUCK B1206Y","2682394","2471760","THOMAS GRADE UP 6849","2016-04-02","1","","1","0","53","500",""
"(3120332)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(2718424)","81TJY2469","2012-02-28","BAR CK BREES B924Z","2808977","2472158","G A R SELECTIVE","2016-04-23","1","","0","1","81","506",""
"(3128802)","0.34","17.9","0.41","-1.9","0.15","11.0","","","0.40","50.5","0.40","77.0","0.35","0.55","0.30","-0.25","0.31","-0.038","-0.038","0.36","0.40","","","","","","","0.16","11.3","131.5","69.5","","","27.9","0.36","0.38","53.1","0.39","1.5","11.2","0.40","0.17","0.40","4","10","95","90","3","10","60","85","55","99","50","10","65","90","","35","50","80","(2713365)","81TXD6608","2007-03-01","KSU PROGRESS 2B","2941803","2570885","G A R PROGRESS","2016-06-28","1","","1","0","51","380",""
"(3113702)","0.37","15.7","0.47","-2.2","0.19","10.0","","","0.42","51.2","0.41","77.0","0.36","0.61","0.31","-0.19","0.32","-0.031","-0.031","0.37","0.42","","","","","","","0.19","11.4","132.1","70.8","","","24.8","0.36","0.38","50.4","0.39","14.3","10.4","0.39","0.16","0.41","15","10","95","90","10","25","75","85","65","95","65","10","65","90","","35","45","85","(9761354)","81TGQ3921","2011-04-24","BAR CK 1006X 3180A","2839853","2614607","BAR CK TEBOW 1006X","2016-04-17","1","","1","0","81","",""
"(3120167)","0.38","18.6","0.46","-1.3","0.20","12.7","","","0.41","52.3","0.40","79.0","0.36","0.47","0.31","-0.29","0.33","-0.054","-0.054","0.37","0.38","","","","","","","0.20","9.5","123.8","67.3","","","21.0","0.37","0.39","47.1","0.38","1.6","9.1","0.40","0.17","0.40","2","20","90","90","1","60","85","95","80","99","35","20","40","95","","55","60","80","(2848392)","81TLW1891","2013-03-15","BAR CK 6225 3114A","2839756","2472158","G A R SELECTIVE","2016-04-22","1","","1","0","92","369",""
"(3128769)","0.37","19.6","0.46","-2.6","0.16","11.6","","","0.42","49.6","0.40","74.6","0.35","0.41","0.32","-0.17","0.34","-0.007","-0.007","0.37","0.63","","","","","","","0.17","13.4","130.2","65.5","","","24.1","0.36","0.38","48.9","0.38","20.5","12.2","0.40","0.16","0.40","2","10","95","95","2","30","80","75","40","85","75","30","95","50","","40","70","85","(2712498)","81TDK7615","2011-04-06","KSU PROGRESS 2B","2941803","2570885","G A R PROGRESS","2016-06-05","1","","1","0","90","537",""
"(3105988)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(2872467)","BU167","2014-03-31","BAR CK 6225 3012A","2839874","2472158","G A R SELECTIVE","2016-03-13","1","","1","0","78","595",""
"(3103890)","0.38","18.8","0.47","-3.7","0.20","11.2","","","0.43","41.0","0.43","63.3","0.32","0.65","0.31","-0.07","0.30","-0.005","-0.005","0.37","0.30","","","","","","","0.17","13.1","140.2","67.2","","","23.7","0.38","0.40","44.1","0.39","19.1","10.0","0.40","0.14","0.43","2","3","99","99","2","35","95","75","70","90","95","4","95","99","","20","60","95","(2713288)","81TXD6436","2007-05-02","BAR CK 1006X 3104A","2839858","2614607","BAR CK TEBOW 1006X","2016-03-28","1","","1","0","92","429",""
"(3105839)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(2872316)","BU99","2014-03-25","BAR CK TARGET 3016A","2839832","2570885","G A R PROGRESS","2016-02-24","1","","0","1","68","434",""
"(3103824)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(2719169)","81TJY2627","2012-03-17","BAR CK LUCK B1206Y","2682394","2471760","THOMAS GRADE UP 6849","2016-04-02","1","","1","0","77","",""
"(3105905)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(2872307)","BU80","2014-03-22","BAR CK 6225 3012A","2839874","2472158","G A R SELECTIVE","2016-03-18","1","","0","1","59","436",""
"(3105707)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(2871880)","BU015","2014-03-04","BAR CK TEBOW 1006X","2614607","2414537","GW PREDESTINED 701T","2016-02-29","1","","1","0","","445",""
"(3105806)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(2872173)","BU217","2014-04-03","ALL PURPOSE 3-12","2813893","2627830","CONNEALY IN SURE 8524","2016-03-02","1","","0","1","72","457",""
"(3105773)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(2871891)","BU018","2014-03-04","ABCE538","(2745271)","(2744317)","HICKS OB45 C720","2016-02-25","1","","1","0","76","526",""
"(3120283)","0.39","19.0","0.47","-2.0","0.21","13.0","","","0.42","52.7","0.41","84.3","0.34","0.63","0.32","-0.11","0.33","-0.003","-0.003","0.39","0.38","","","","","","","0.21","11.0","137.9","72.3","","","23.7","0.38","0.40","50.0","0.40","12.7","18.0","0.41","0.20","0.41","2","10","90","80","1","35","75","90","2","99","90","5","95","95","","20","40","65","(2712464)","81TDK7580","2011-04-05","KSU PROGRESS 4B","2889727","2570885","G A R PROGRESS","2016-04-22","1","","1","0","65","521",""
"(3113621)","0.39","13.5","0.49","0.5","0.23","8.3","","","0.45","66.1","0.44","101.2","0.38","0.35","0.32","-0.18","0.33","-0.023","-0.023","0.39","0.59","0.05","-0.34","","","","","0.20","17.0","127.5","68.8","","","15.2","0.40","0.42","48.2","0.41","25.1","24.8","0.40","0.22","0.44","30","50","45","45","20","99","80","35","1","70","70","40","80","60","45","45","55","50","(2847808)","81TLW1682","2013-03-28","ALL PURPOSE 3-12","2813893","2627830","CONNEALY IN SURE 8524","2016-04-15","1","","0","1","79","352",""
