"ASA Number","Epds>CeAcc","Epds>CeEpd","Epds>BirthWtAcc","Epds>BirthWtEpd","Epds>MceAcc","Epds>MceEpd","Epds>PpaAcc","Epds>PpaEpd","Epds>WeanWtAcc","Epds>WeanWtEpd","Epds>YearlingWtAcc","Epds>YearlingWtEpd","Epds>MarblingAcc","Epds>MarblingEpd","Epds>YieldGradeAcc","Epds>YieldGradeEpd","Epds>BackFatAcc","Epds>BackFatEpd","Epds>BackFatEpd","Epds>RibEyeAcc","Epds>RibEyeEpd","Epds>ShrForceAcc","Epds>ShrForceEpd","Epds>DauWtAcc","Epds>DauWtEpd","Epds>DauHtAcc","Epds>DauHtEpd","Epds>StayAcc","Epds>StayEpd","Epds>Api","Epds>Ti","Epds>FertAcc","Epds>FertEpd","Epds>MilkEpd","Epds>MilkAcc","Epds>MwwAcc","Epds>MwwEpd","Epds>CarcassWtAcc","Epds>CarcassWtEpd","Epds>DocEpd","Epds>DocAcc","Epds>AdgEpd","Epds>AdgAcc","Percentile>CE","Percentile>BW","Percentile>WW","Percentile>YW","Percentile>MCE","Percentile>Milk","Percentile>MWW","Percentile>Stay","Percentile>Doc","Percentile>CW","Percentile>YG","Percentile>Marb","Percentile>BF","Percentile>REA","Percentile>SF","Percentile>API","Percentile>TI","Percentile>ADG","BirthDam>ASA Number","BirthDam>Name","BirthDam>BirthDate","Sire>Name","Sire>ASA Number","Sire>Sire>ASA Number","Sire>Sire>Name","BirthDate","DamProgeny>Total","DamProgeny>Interval","DamProgeny>Males","DamProgeny>Females","DamProgeny>Avg Adj BW","DamProgeny>Avg Adj WW","DamProgeny>Avg Adj YW"
"(2712907)","0.30","13.1","0.37","1.5","0.22","4.0","","","0.30","62.5","0.30","101.0","0.30","0.29","0.26","-0.09","0.28","-0.029","-0.029","0.30","0.20","","","","","","","0.16","15.1","117.0","64.6","","","23.1","0.35","0.38","54.3","0.31","21.2","17.5","0.34","0.24","0.30","35","75","60","45","85","40","55","55","2","85","90","50","80","99","","70","75","35","(2713177)","81TXE2538","2006-03-27","GW LUCKY CHARM 665K","2105876","1704719","LCHMAN LUCKY BUCK 7049C","2009-03-22","6","371","5","1","89","523",""
"(2711949)","0.34","14.5","0.43","-2.7","0.12","9.6","","","0.34","35.0","0.35","53.9","0.27","0.37","0.27","-0.16","0.26","-0.028","-0.028","0.33","0.21","","","","","","","0.15","13.0","138.8","67.2","","","30.1","0.39","0.42","47.5","0.34","2.7","11.9","0.35","0.12","0.35","20","10","99","99","10","3","85","75","45","99","75","35","80","99","","20","60","99","(2712794)","81TXE2658","2006-03-24","","","","","2008-03-11","8","423","3","5","80","458","604"
"(2712940)","0.30","15.9","0.38","-2.1","0.22","8.0","","","0.30","44.0","0.30","71.5","0.31","0.68","0.27","0.24","0.30","0.088","0.088","0.30","0.14","","","","","","","0.15","13.0","158.8","77.2","","","19.6","0.36","0.39","41.5","0.32","25.0","10.7","0.34","0.17","0.30","10","10","99","95","25","75","99","75","60","70","99","3","99","99","","3","20","80","(2715754)","YL407","2007-03-20","N BAR PRIME TIME D806","2178379","2069651","GARDENS PRIME TIME","2009-02-11","7","366","4","3","86","479","924"
"(2712742)","0.27","10.7","0.38","1.7","0.13","5.5","","","0.27","57.5","0.27","87.9","0.20","0.13","0.19","0.07","0.19","0.012","0.012","0.22","0.05","","","","","","","0.12","12.8","119.8","66.6","","","19.4","0.33","0.38","48.1","0.23","21.8","7.1","0.32","0.19","0.27","65","80","80","75","70","75","85","75","95","85","99","80","99","99","","60","65","70","(2713045)","81TMY8537","2001-03-20","HH ADVANCE 3113N 1ET","(2708701)","","","2006-03-26","8","475","3","5","83","448","630"
"(2712841)","0.40","14.5","0.48","-0.4","0.21","7.1","","","0.42","53.6","0.43","85.3","0.37","0.25","0.34","-0.26","0.36","-0.061","-0.061","0.40","0.49","","","","","","","0.27","16.4","119.9","61.8","","","26.4","0.44","0.46","53.1","0.41","20.9","17.2","0.40","0.20","0.43","20","30","90","80","40","15","60","40","2","85","45","60","30","80","","60","85","65","(2712852)","81TAH2803","2008-04-28","GW LUCKY CHARM 665K","2105876","1704719","LCHMAN LUCKY BUCK 7049C","2010-02-19","7","371","3","4","83","496","898"
"(2712610)","0.32","13.5","0.40","-1.4","0.13","7.5","","","0.34","43.1","0.34","67.5","0.28","0.49","0.27","0.10","0.24","0.028","0.028","0.35","0.09","","","","","","","0.15","11.0","116.4","60.3","","","22.2","0.37","0.40","43.7","0.36","23.7","9.4","0.33","0.15","0.34","30","15","99","99","30","50","95","90","80","75","99","20","99","99","","70","90","90","(2712861)","81TMZ1415","2000-03-14","","","","","2011-03-31","6","368","5","1","75","464",""
"(2712577)","0.42","17.3","0.50","-2.5","0.25","11.4","","","0.44","49.8","0.45","79.0","0.40","0.63","0.36","-0.11","0.38","-0.015","-0.015","0.43","0.64","","","","","","","0.24","15.1","143.1","70.8","","","23.1","0.47","0.49","48.0","0.46","40.6","11.5","0.43","0.18","0.45","5","10","95","90","2","40","85","55","50","15","90","5","90","50","","15","45","75","(9634953)","81TDK6192","2009-04-07","MCC DAYBREAK","2548901","2185781","BOYD NEW DAY 8005","2011-02-19","6","371","4","2","73","495","824"
"(2712247)","0.42","9.2","0.51","1.7","0.26","5.2","","","0.46","57.9","0.46","92.7","0.43","0.26","0.38","-0.08","0.42","-0.020","-0.020","0.45","0.42","0.11","-0.35","","","","","0.32","16.0","109.8","61.1","","","32.7","0.47","0.51","61.6","0.46","35.0","18.5","0.45","0.22","0.46","85","80","80","65","75","1","15","45","1","30","95","60","90","90","40","80","85","50","(2712004)","81TAH2702","2008-02-22","GW LUCKY CHARM 665K","2105876","1704719","LCHMAN LUCKY BUCK 7049C","2010-02-15","7","372","3","4","95","548","813"
"(2712214)","0.43","8.2","0.51","1.9","0.27","3.6","","","0.45","55.7","0.46","85.5","0.43","0.30","0.37","-0.16","0.39","-0.046","-0.046","0.45","0.52","0.11","-0.35","","","","","0.32","16.5","110.2","60.7","","","34.5","0.48","0.51","62.3","0.47","39.4","23.5","0.45","0.19","0.46","90","85","85","80","90","1","15","40","1","15","75","50","50","75","40","80","85","70","(2711971)","81TAH2653","2008-03-14","GW LUCKY CHARM 665K","2105876","1704719","LCHMAN LUCKY BUCK 7049C","2010-02-20","7","370","5","2","97","558","804"
"(2712313)","0.42","15.4","0.50","-0.7","0.25","8.5","","","0.43","55.3","0.44","90.8","0.36","0.45","0.35","-0.09","0.36","-0.021","-0.021","0.43","0.50","","","","","","","0.29","18.5","137.3","68.5","","","34.0","0.46","0.49","61.6","0.42","38.2","25.8","0.43","0.22","0.44","15","25","85","70","20","1","15","20","1","20","90","25","80","75","","25","55","50","(2715436)","BK311","2008-03-01","GW LUCKY CHARM 665K","2105876","1704719","LCHMAN LUCKY BUCK 7049C","2010-02-15","7","371","3","4","83","544","786"
